,Client_ID,Scenario,DataVolume(Samples),FeatureCount,Local_Accuracy(%),Train_Time(s),Latency(ms),C_p,BW,Weights_Path,Label0,Label1,Label2,Label3,Label4,Quality_Factor,Mean_Quality_Factor(%),Reliability_Score
89,90,NonIID,1572,43,24.43,4.672521114349365,4672.521114349365,0.2140172244335052,4512.598930481284,/content/drive/MyDrive/mlaas_weights_har/client_90.npz,364,345,394,422,47,"[27.353689074516296, 24.42537397146225, 24.42537397146225, 24.42537397146225, 24.42537397146225]",25.01103699207306,0.2
90,91,NonIID,963,43,25.03,3.197751760482788,3197.751760482788,0.3127197090023719,4561.383783783784,/content/drive/MyDrive/mlaas_weights_har/client_91.npz,52,418,144,50,299,"[25.02562403678894, 25.02562403678894, 5.399792268872261, 25.02562403678894, 5.399792268872261]",17.17529132962227,0.4
91,92,NonIID,1240,43,9.63,3.307474136352539,3307.474136352539,0.302345523736368,4849.747126436781,/content/drive/MyDrive/mlaas_weights_har/client_92.npz,162,110,209,367,392,"[9.630805999040604, 9.630805999040604, 13.064515590667725, 13.064515590667725, 9.630805999040604]",11.004289835691452,0.4
92,93,NonIID,324,43,9.65,2.3707308769226074,2370.7308769226074,0.42181084733585517,2722.116129032258,/content/drive/MyDrive/mlaas_weights_har/client_93.npz,22,54,15,11,222,"[9.645543992519379, 9.645543992519379, 6.790123134851456, 6.790123134851456, 9.645543992519379]",8.50337564945221,0.4
93,94,NonIID,531,43,24.4,2.4536914825439453,2453.6914825439453,0.4075491996912412,4116.370731707317,/content/drive/MyDrive/mlaas_weights_har/client_94.npz,128,73,181,140,9,"[24.401256442070007, 24.482108652591705, 24.401256442070007, 24.105460941791534, 24.105460941791534]",24.299108684062958,0.6
94,95,NonIID,1330,43,25.03,3.2865004539489746,3286.5004539489746,0.30427502263035616,4561.383783783784,/content/drive/MyDrive/mlaas_weights_har/client_95.npz,299,632,197,94,108,"[25.02562403678894, 25.02562403678894, 25.02562403678894, 25.02562403678894, 22.481203079223633]",24.51673984527588,0.2
95,96,NonIID,1755,43,19.12,3.8768107891082764,3876.8107891082764,0.2579439788006819,3501.4771784232366,/content/drive/MyDrive/mlaas_weights_har/client_96.npz,536,59,346,322,492,"[19.122937321662903, 30.712249875068665, 30.541309714317322, 30.541309714317322, 30.541309714317322]",28.291823267936707,0.8
96,97,NonIID,1635,43,9.63,3.8256096839904785,3825.6096839904785,0.26139624337130596,4536.860215053764,/content/drive/MyDrive/mlaas_weights_har/client_97.npz,450,190,206,298,491,"[9.630805999040604, 27.522936463356018, 27.522936463356018, 9.630805999040604, 9.630805999040604]",16.78765818476677,0.4
97,98,NonIID,1762,43,21.82,3.7843821048736572,3784.382104873657,0.26424392999643603,4349.773195876289,/content/drive/MyDrive/mlaas_weights_har/client_98.npz,468,242,88,819,145,"[46.70828580856323, 26.560726761817932, 26.560726761817932, 26.560726761817932, 26.560726761817932]",30.590238571166992,1.0
98,99,NonIID,1259,43,19.13,3.309628963470459,3309.628963470459,0.3021486731707247,4611.234972677596,/content/drive/MyDrive/mlaas_weights_har/client_99.npz,426,207,362,151,113,"[12.470214813947678, 33.836376667022705, 19.12628710269928, 33.836376667022705, 33.836376667022705]",26.621126383543015,0.8
99,100,NonIID,1664,43,9.63,3.7686636447906494,3768.6636447906494,0.26534604683606633,4767.54802259887,/content/drive/MyDrive/mlaas_weights_har/client_100.npz,197,289,208,21,949,"[9.630805999040604, 11.838942021131516, 9.630805999040604, 9.630805999040604, 9.630805999040604]",10.072433203458786,0.2
